Roll No.,Name of Student,GP,10th_Marks,12th_Marks,Active_Backlogs,Internships,Projects,DSA_Skill,Communication_Skill,Placed
1,Ashir Mehfooz,10.0,67.9779257046734,50.441458477598225,0,1,2,4.7731946729181205,9.658377395004617,1
2,Atif Raftad,6.25,95.63428670767598,54.87063405756954,2,1,3,5.395060627023743,9.491888821821805,0
3,Saiqa Aziz,9.75,85.13570920694744,81.84808491718668,1,3,2,5.223646362917543,6.314355615120592,1
8,Ozair Minhas,0.0,78.73560724145776,50.24295602461849,0,2,6,6.340832444750975,6.096681909457329,1
9,Naveera Subhani,5.5,57.488894741236955,57.71878646803994,0,0,2,6.3211479620997295,7.703161384112535,0
10,Zia-ul-arfin,7.0,57.487736976137725,76.33922188959613,1,2,2,6.006092040306829,5.502421841217563,1
13,Nasir Naveed,6.5,52.78801338407357,83.21096948924928,2,0,2,6.8738763394927,7.452687849729199,0
14,Farhat Jameel,0.0,91.57645499719689,81.29414045612482,0,1,3,8.381292549572683,8.149120417577036,1
15,Arooba Tariq,0.0,78.85352056367402,60.76492685410687,0,0,3,7.899108270882648,8.840399835826462,0
16,Mudasar Hussain,0.0,83.98748373421019,84.18460262468173,0,0,3,3.030204063100193,6.849768885280071,0
17,Waqas Khan,0.0,50.98805572619852,61.3879561998464,0,2,6,0.8921577301960903,6.694489374734551,1
19,Muhammad Ali Zafar,5.0,96.55567290377573,65.61918551164484,1,0,1,7.868639822478547,5.683026119865159,0
20,Aman Ashiq,5.25,89.95724675842024,85.83158744566515,0,1,2,3.266242603169158,5.7596794689402095,0
21,Uzair Rafique Chohan,5.0,60.19227731255725,81.1823791542663,0,1,1,5.550469196214633,6.66028166214771,1
22,M.Kamran ,5.0,58.727598425940826,90.76272370372054,1,1,2,3.659773947881281,7.551048260224267,0
23,Hamad Aslam,6.5,58.80341647296483,81.56541883041649,0,0,3,2.3960391248399606,8.370376939349875,0
24,Abdul Qadeer,9.0,64.60362766205782,77.27881296010264,0,2,3,7.082925456409576,5.795231573979483,1
26,Aleena Muqarrab,10.0,75.18830871834741,54.496388855748435,1,1,2,7.518310320605294,9.239032853439284,0
27,Mehfooz Ahmed,0.0,70.73336089482156,67.6503585468528,1,2,1,4.846979198546562,6.593314598436147,0
28,Raftad Khan,0.0,63.97899872950601,62.72971364872282,0,0,4,0.8179154157101802,6.967949058477346,0
29,Muhammad Aziz,0.0,79.3689389466742,61.711502882196015,0,2,1,4.907511103495034,5.879182481278265,1
30,Minhas Alam,0.0,56.695705311298006,96.70450662811739,1,0,2,6.783608010805093,3.363639609590588,0
31,Ahmed Subhani,0.0,64.02294312969047,68.8686907840045,0,2,2,3.0421768624517425,8.326068094541574,1
32,Arfin Sahib,0.0,67.5853684780972,92.81823464850143,3,2,2,6.3667198395583116,8.10526584563865,0
34,ch Naveed,6.0,71.89135924241772,80.29465404786862,0,0,0,5.969380301654009,6.57800866432268,1
35, Jameel ahmed,0.0,87.68844614686465,88.15094256999913,0,0,4,7.158582999202177,7.100486075837308,0
36, Tariq Gulzar,0.0,59.58434154360127,74.12658046904923,1,1,1,6.239160736828307,7.773908826556149,0
37,Hussain Bhatti,0.0,74.68325304385336,77.69138646206524,0,3,0,4.053862118236889,4.656181214670186,1
38,Jutt waqas,7.5,78.43589930537803,73.64084930330546,1,1,2,8.393143003328984,6.206420983980558,1
39,Ahmed Ali Raja,7.25,52.22961981055989,59.371663414306134,0,1,2,5.68294085394606,8.19139701943274,1
40,Muhammad Ali,0.0,79.16215289126905,84.67770153255225,0,1,3,5.945390920980136,5.118565865246126,1
41,Aman Ashiq,0.0,58.185157936989995,63.47707339716108,0,0,2,4.133464081853608,7.440336898249944,0
42,Uzair Rafique Chohan,6.25,53.12247646329342,51.16716638870979,0,0,0,5.11343549761698,4.965127293064892,0
43,M.Kamran ,0.0,95.54650578816,80.98267020354405,0,2,2,4.230394571946198,7.699644973650289,1
45,Abdul Qadeer Khan,8.25,96.35033758757885,58.50131261153835,0,2,2,5.654107880153154,6.946537776553774,1
